web-scraper-order,web-scraper-start-url,professors,professors-href
"1740066194-107","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114564/guia_docent","Suárez Reyes,  David","http://www.urv.cat/html/docencia-per-centre/general-I78530.php"
"1740066201-108","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114563/guia_docent","Ballester Azpitarte,  Leticia","http://www.urv.cat/html/docencia-per-centre/general-I71269.php"
"1740066201-109","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114563/guia_docent","Cairo Valdivia,  Marcelo","http://www.urv.cat/html/docencia-per-centre/general-I111499.php"
"1740066201-110","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114563/guia_docent","Cases Blanch,  Carles","http://www.urv.cat/html/docencia-per-centre/general-I99813.php"
"1740066201-111","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114563/guia_docent","Diez I Besora,  Josep Lluís","http://www.urv.cat/html/docencia-per-centre/general-I18540.php"
"1740066201-112","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114563/guia_docent","Franquet Sugrañes,  Maria Teresa","http://www.urv.cat/html/docencia-per-centre/general-I7057.php"
"1740066201-113","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114563/guia_docent","Martinez Núñez,  Irene Sofía","http://www.urv.cat/html/docencia-per-centre/general-I57150.php"
"1740066201-114","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114563/guia_docent","Martinez Ruiz,  Juan Antonio","http://www.urv.cat/html/docencia-per-centre/general-I13630.php"
"1740066201-115","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114563/guia_docent","Piedra Arjona,  Jorge","http://www.urv.cat/html/docencia-per-centre/general-I73955.php"
"1740066201-116","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114563/guia_docent","Pérez Andreu,  Xavier","http://www.urv.cat/html/docencia-per-centre/general-I7424.php"
"1740066201-117","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114563/guia_docent","Rivas Nieto,  María Estela","http://www.urv.cat/html/docencia-per-centre/general-I7370.php"
"1740066201-118","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114563/guia_docent","Tua López,  Javier","http://www.urv.cat/html/docencia-per-centre/general-I16637.php"
"1740066207-119","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114561/guia_docent","Cairo Valdivia,  Marcelo","http://www.urv.cat/html/docencia-per-centre/general-I111499.php"
"1740066207-120","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114561/guia_docent","Castells Escurriola,  Inmaculada","http://www.urv.cat/html/docencia-per-centre/general-I79169.php"
"1740066207-121","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114561/guia_docent","Escoda Royo,  Francisco Javier","http://www.urv.cat/html/docencia-per-centre/general-I72973.php"
