web-scraper-order,web-scraper-start-url,coordinators,coordinators-href
"1740065622-85","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/116590/guia_docent","Bargallo Ferrerons,  Amelia","http://www.urv.cat/html/docencia-per-centre/general-I54831.php"
"1740065627-86","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/112503/guia_docent","Lorenzo Merino,  Carlos","http://www.urv.cat/html/docencia-per-centre/general-I8903.php"
"1740065632-87","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/115324/guia_docent","Rodríguez Álvarez,  José Pedro","http://www.urv.cat/html/docencia-per-centre/general-I2289.php"
"1740065636-88","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/113584/guia_docent","Rosell Ardévol,  Jordi","http://www.urv.cat/html/docencia-per-centre/general-I2402.php"
"1740065640-89","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/112505/guia_docent","Canals Salomó,  Antoni","http://www.urv.cat/html/docencia-per-centre/general-I6142.php"
"1740065646-90","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/112506/guia_docent","López García,  Juan Manuel","http://www.urv.cat/html/docencia-per-centre/general-I13824.php"
"1740065650-91","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/115323/guia_docent","Mosquera Martínez,  Marina","http://www.urv.cat/html/docencia-per-centre/general-I592.php"
"1740065655-92","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/116234/guia_docent","Vallverdú Poch,  Josep","http://www.urv.cat/html/docencia-per-centre/general-I7417.php"
"1740065660-93","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/114028/guia_docent","Lorenzo Merino,  Carlos","http://www.urv.cat/html/docencia-per-centre/general-I8903.php"
"1740065667-94","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/114915/guia_docent","Cáceres Cuello De Oro,  Isabel","http://www.urv.cat/html/docencia-per-centre/general-I2196.php"
"1740065673-95","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/114079/guia_docent","Ollé Cañellas,  Andreu","http://www.urv.cat/html/docencia-per-centre/general-I7414.php"
"1740065679-96","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/113733/guia_docent","Vaquero Rodríguez,  Manuel","http://www.urv.cat/html/docencia-per-centre/general-I2296.php"
"1740065684-97","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/116949/guia_docent","Rodríguez Álvarez,  José Pedro","http://www.urv.cat/html/docencia-per-centre/general-I2289.php"
"1740065690-98","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/113729/guia_docent","Martínez Navarro,  Bienvenido","http://www.urv.cat/html/docencia-per-centre/general-I11958.php"
"1740065696-99","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/113731/guia_docent","Vaquero Rodríguez,  Manuel","http://www.urv.cat/html/docencia-per-centre/general-I2296.php"
"1740065702-100","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/112512/guia_docent","Gómez Merino,  Gala","http://www.urv.cat/html/docencia-per-centre/general-I49449.php"
"1740065708-101","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/113732/guia_docent","Ruisánchez Capelastegui,  María Iciar","http://www.urv.cat/html/docencia-per-centre/general-I2125.php"
"1740065718-102","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/114914/guia_docent","Vergès Bosch,  Josep Maria","http://www.urv.cat/html/docencia-per-centre/general-I7415.php"
