web-scraper-order,web-scraper-start-url,professors
"1740086311-106","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204130&any_academic=2024_25&idioma=cat&modalitat=p","RODENAS GARCÍA, JUAN FERNANDO"
"1740086314-107","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204133&any_academic=2024_25&idioma=cat&modalitat=p","QUERAL LLABERIA, JORDI"
"1740086314-108","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204133&any_academic=2024_25&idioma=cat&modalitat=p","GENÍS VIÑALS, MARIONA"
"1740086316-109","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204124&any_academic=2024_25&idioma=cat&modalitat=p","MALLAFRÈ BALSELLS, CÈLIA"
"1740086318-110","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204108&any_academic=2024_25&idioma=cat&modalitat=p","GARCÍA HERNANDEZ, PEDRO"
"1740086318-111","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204108&any_academic=2024_25&idioma=cat&modalitat=p","GENÍS VIÑALS, MARIONA"
"1740086318-112","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204108&any_academic=2024_25&idioma=cat&modalitat=p","PONT AINETO, ANDREU"
"1740086318-113","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204108&any_academic=2024_25&idioma=cat&modalitat=p","CASTELLÀ FABREGAT, ANNA MARIA"
"1740086320-114","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204134&any_academic=2024_25&idioma=cat&modalitat=p","CIVIT MARTÍNEZ, ALFONS"
"1740086323-115","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204125&any_academic=2024_25&idioma=cat&modalitat=p","CASANOVA PALLEJÀ, FRANCESC XAVIER"
"1740086325-116","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204117&any_academic=2024_25&idioma=cat&modalitat=p","COSTA JOVER, AGUSTI"
"1740086325-117","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204117&any_academic=2024_25&idioma=cat&modalitat=p","QUERAL LLABERIA, JORDI"
"1740086327-118","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204109&any_academic=2024_25&idioma=cat&modalitat=p","GIRONES SADERRA, ANTONIO"
"1740086327-119","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204109&any_academic=2024_25&idioma=cat&modalitat=p","BANÚS TELLA, ANTONIO"
"1740086327-120","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204109&any_academic=2024_25&idioma=cat&modalitat=p","TERÉS ROS, ALBA"
"1740086329-121","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204110&any_academic=2024_25&idioma=cat&modalitat=p","GIRONES SADERRA, ANTONIO"
"1740086329-122","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204110&any_academic=2024_25&idioma=cat&modalitat=p","BANÚS TELLA, ANTONIO"
"1740086329-123","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204110&any_academic=2024_25&idioma=cat&modalitat=p","TERÉS ROS, ALBA"
"1740086332-124","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204301&any_academic=2024_25&idioma=cat&modalitat=p","GIRONES SADERRA, ANTONIO"
"1740086332-125","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204301&any_academic=2024_25&idioma=cat&modalitat=p","MIRALLES JORI, ROGER"
"1740086332-126","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204301&any_academic=2024_25&idioma=cat&modalitat=p","FREDIANI SARFATI, ARTURO"
"1740086332-127","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204301&any_academic=2024_25&idioma=cat&modalitat=p","NAVARRO ROMERO, CELIA"
"1740086332-128","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204301&any_academic=2024_25&idioma=cat&modalitat=p","FITE FONT, RAMON ANTONIO"
"1740086332-129","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204301&any_academic=2024_25&idioma=cat&modalitat=p","TOLDRA DOMINGO, JOSE MARIA"
"1740086332-130","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204301&any_academic=2024_25&idioma=cat&modalitat=p","SALA MATEUS, MIGUEL ANGEL"
