web-scraper-order,web-scraper-start-url,coordinators
"1740076397-110","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655218&any_academic=2024_25&idioma=cat&modalitat=p","HERRERO SABARTÉS, JUAN"
"1740076400-111","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655212&any_academic=2024_25&idioma=cat&modalitat=p","GIL FIGUEROLA, VÍCTOR"
"1740076402-112","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655205&any_academic=2024_25&idioma=cat&modalitat=p","GIAMBERINI , MARTA"
"1740076405-113","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655210&any_academic=2024_25&idioma=cat&modalitat=p","MASSAGUÉS VIDAL, LLUÍS"
"1740076407-114","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655209&any_academic=2024_25&idioma=cat&modalitat=p","GUASCH PESQUER, LUIS"
"1740076409-115","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655208&any_academic=2024_25&idioma=cat&modalitat=p","BENGOA , CHRISTOPHE JOSÉ"
"1740076412-116","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655220&any_academic=2024_25&idioma=cat&modalitat=p","PAROLO , CLAUDIO"
"1740076414-117","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655201&any_academic=2024_25&idioma=cat&modalitat=p","FERRÉ VIDAL, JOSEP ANTON"
"1740076416-118","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655203&any_academic=2024_25&idioma=cat&modalitat=p","URBINA PONS, CRISTINA VICTORIA"
"1740076419-119","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655204&any_academic=2024_25&idioma=cat&modalitat=p","DE LA FLOR LOPEZ, SILVIA"
"1740076422-120","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655202&any_academic=2024_25&idioma=cat&modalitat=p","GONZÁLEZ BAIXAULI, GENARO"
"1740076424-121","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655240&any_academic=2024_25&idioma=cat&modalitat=p","OLALLA MARTÍNEZ, CARLOS"
"1740076426-122","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655238&any_academic=2024_25&idioma=cat&modalitat=p","ZAMBRANO PRADA, DAVID ALEJANDRO"
"1740076429-123","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655207&any_academic=2024_25&idioma=cat&modalitat=p","POZO FERNÁNDEZ, CARLOS"
"1740076431-124","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655222&any_academic=2024_25&idioma=cat&modalitat=p","MACKIE WALKER, ALLAN DONALD"
