web-scraper-order,web-scraper-start-url,iframes
"1739379194-90","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/112820/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224401&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379196-91","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/116382/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224231&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379199-92","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/113425/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224119&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379201-93","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/112819/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224118&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379204-94","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/112804/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224117&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379206-95","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/113424/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224116&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379209-96","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/112803/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224115&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379211-97","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/113844/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224114&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379214-98","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/113843/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224113&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379217-99","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/112802/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224112&any_academic=2024_25&idioma=eng&modalitat=p"
